iter	Logloss
0	0.6812558905
1	0.6682594828
2	0.6551304881
3	0.6428380488
4	0.6319604584
5	0.6196152217
6	0.6088414905
7	0.5999024998
8	0.5904563884
9	0.5818654037
10	0.5730489375
11	0.5656263311
12	0.5582076939
13	0.5515954046
14	0.544639583
15	0.5386929197
16	0.5333910672
17	0.5274729321
18	0.5224593316
19	0.5174351351
20	0.5123165771
21	0.5081498475
22	0.5039058662
23	0.4995473787
24	0.4961189096
25	0.4925623858
26	0.4889463214
27	0.4858486685
28	0.4825394463
29	0.4794773407
30	0.4765274368
31	0.4737277076
32	0.4709909381
33	0.4686024436
34	0.4664741961
35	0.4639052564
36	0.4617212554
37	0.4601439569
38	0.4579144681
39	0.4557711697
40	0.453956452
41	0.4520493751
42	0.450126787
43	0.4491204873
44	0.4477248415
45	0.4465578943
46	0.4449296255
47	0.4434312355
48	0.4424787582
49	0.4411895651
50	0.4397388886
51	0.4384682233
52	0.4370002276
53	0.4357605535
54	0.434846084
55	0.4336809432
56	0.4325724521
57	0.4315999089
58	0.4307571022
59	0.4298122503
60	0.4289655858
61	0.4282015322
62	0.4276994476
63	0.426897908
64	0.4261912421
65	0.4257396267
66	0.4248247602
67	0.424169392
68	0.4235068764
69	0.4229623837
70	0.422452082
71	0.4218263202
72	0.4212632147
73	0.4206125951
74	0.4204118085
75	0.4197103358
76	0.4194576026
77	0.4189451945
78	0.4183039199
79	0.4178079514
80	0.4172098106
81	0.416797163
82	0.416175438
83	0.4158497514
84	0.4153944784
85	0.4148020874
86	0.4144247461
87	0.4141208242
88	0.4136893552
89	0.4135737633
90	0.4130716509
91	0.4124701602
92	0.4118766125
93	0.4113666192
94	0.4109885601
95	0.4106068628
96	0.410053605
97	0.4096595514
98	0.4094761328
99	0.4091344726
100	0.4088505481
101	0.4084550121
102	0.4080388059
103	0.407643657
104	0.4072881384
105	0.407010772
106	0.4065747547
107	0.4062627301
108	0.4061839129
109	0.4058805565
110	0.4055392448
111	0.4050718062
112	0.40481585
113	0.4045456347
114	0.4043315056
115	0.4040889424
116	0.4040290061
117	0.4037381225
118	0.4036508811
119	0.4032750113
120	0.4031331257
121	0.402962559
122	0.4026650664
123	0.4025819854
124	0.4022301797
125	0.4019854838
126	0.4017380259
127	0.4014386431
128	0.4013098304
129	0.4010879827
130	0.4009733866
131	0.4007348528
132	0.4006443035
133	0.4004805014
134	0.4002421004
135	0.3999842
136	0.3997746386
137	0.3997173199
138	0.3994601777
139	0.3992565924
140	0.3990217713
141	0.39872156
142	0.3985256793
143	0.3982943778
144	0.3980819982
145	0.3979644853
146	0.3977707762
147	0.3975767509
148	0.3973734347
149	0.3971726213
150	0.3971652495
151	0.3971317721
152	0.3970818682
153	0.3970812742
154	0.3969522696
155	0.3968389589
156	0.3967420807
157	0.3967056653
158	0.3965543547
159	0.3963502113
160	0.3962704885
161	0.3960770346
162	0.3959297102
163	0.3958101782
164	0.3955397846
165	0.3953881794
166	0.395324384
167	0.3952343851
168	0.3951241954
169	0.3950681257
170	0.3948055668
171	0.394627507
172	0.3945065766
173	0.3943137493
174	0.3941006562
175	0.3938848251
176	0.3937939986
177	0.3935314684
178	0.3935076516
179	0.3934344655
180	0.3933351682
181	0.3932686969
182	0.3930237927
183	0.3930095064
184	0.3928651456
185	0.3927497209
186	0.3926393066
187	0.3926363902
188	0.3926363879
189	0.3925020223
190	0.3924615131
191	0.3923653555
192	0.3922646748
193	0.3922265401
194	0.3921470729
195	0.3920205711
196	0.3919455056
197	0.3918063616
198	0.3917014549
199	0.3916418943
200	0.3915490419
201	0.3915296382
202	0.391279674
203	0.3911077763
204	0.3910490876
205	0.3910383851
206	0.3910173692
207	0.390777951
208	0.3906838875
209	0.3905993252
210	0.390387908
211	0.3903416177
212	0.3901476163
213	0.3900390011
214	0.3900286933
215	0.3900117755
216	0.3899799591
217	0.3898433845
218	0.3898227768
219	0.3897776427
220	0.3897192771
221	0.3895751837
222	0.3895526997
223	0.3895433899
224	0.3894883046
225	0.3892407207
226	0.3891934431
227	0.3890725634
228	0.3888645838
229	0.3887476599
230	0.388455848
231	0.3883919024
232	0.3883916901
233	0.3882669883
234	0.3882449479
235	0.3882449448
236	0.3881767324
237	0.3879996834
238	0.3878308662
239	0.3877855867
240	0.3876842324
241	0.387655524
242	0.3876067354
243	0.3875918185
244	0.3873999372
245	0.3872325136
246	0.3871254976
247	0.3869753496
248	0.3868439793
249	0.3868338126
250	0.3867814893
251	0.3866880761
252	0.3865527287
253	0.3865329163
254	0.3865327256
255	0.3865266345
256	0.3864103979
257	0.3862859529
258	0.3861336751
259	0.3861155099
260	0.3860993449
261	0.3860987919
262	0.3860953052
263	0.3859344082
264	0.3859202437
265	0.3859030786
266	0.3857978572
267	0.385768217
268	0.3857609185
269	0.3857206827
270	0.3856403147
271	0.3855140352
272	0.3853935513
273	0.3853912952
274	0.3853611281
275	0.3853150491
276	0.3851904161
277	0.3851204718
278	0.3851119881
279	0.3850658908
280	0.3849020602
281	0.3848483881
282	0.3847373585
283	0.3845027915
284	0.3844289018
285	0.3844012782
286	0.384243088
287	0.3841689939
288	0.3840692387
289	0.384068772
290	0.3839905289
291	0.3839549753
292	0.3838397808
293	0.3837517532
294	0.3837015724
295	0.3836969468
296	0.383649344
297	0.3836493066
298	0.3835831261
299	0.3835597681
300	0.3835597669
301	0.3834688514
302	0.3833644374
303	0.3832912859
304	0.3832828136
305	0.3832636678
306	0.3831965159
307	0.3831556477
308	0.3831367914
309	0.3830886184
310	0.3830817025
311	0.3829949954
312	0.3829675585
313	0.3828713886
314	0.3828234155
315	0.3826708842
316	0.3826593747
317	0.3826557398
318	0.3825358826
319	0.3825030082
320	0.3824480962
321	0.3824480881
322	0.3822983372
323	0.3822841346
324	0.3822528462
325	0.382248673
326	0.3822377417
327	0.382237681
328	0.3822299429
329	0.3821771369
330	0.3820928751
331	0.3820896244
332	0.3820894051
333	0.3819536755
334	0.3818885682
335	0.3818835952
336	0.3818571142
337	0.381850016
338	0.3817974901
339	0.3817005262
340	0.3816330099
341	0.3815255036
342	0.3814153015
343	0.3813949543
344	0.3813197366
345	0.3813129237
346	0.3811643197
347	0.3811464615
348	0.3811128258
349	0.3810125503
350	0.3809031466
351	0.380882045
352	0.3807835319
353	0.3807766878
354	0.3807766762
355	0.3807766469
356	0.3807033388
357	0.3805613695
358	0.3804509648
359	0.3803769594
360	0.3803520165
361	0.3802417464
362	0.3800856201
363	0.3800414161
364	0.37992948
365	0.3797704813
366	0.379691538
367	0.3795484787
368	0.379443379
369	0.379443339
370	0.37923008
371	0.3792300573
372	0.3790267522
373	0.3790164595
374	0.3789500005
375	0.3788630382
376	0.3788591401
377	0.3788045374
378	0.37880177
379	0.3787733201
380	0.37868723
381	0.3786211369
382	0.3785384897
383	0.3784747692
384	0.3783332204
385	0.3783055248
386	0.3782321276
387	0.3782317603
388	0.3780824688
389	0.3780759419
390	0.3780436337
391	0.3780432027
392	0.3780427899
393	0.3779801925
394	0.3779520919
395	0.3779467701
396	0.3779063903
397	0.3777573765
398	0.3776951844
399	0.3775831752
400	0.3775437921
401	0.3775080946
402	0.3774384729
403	0.3773762776
404	0.377273286
405	0.3770993176
406	0.3769610162
407	0.376929709
408	0.3768312102
409	0.3767258475
410	0.3766850683
411	0.3765867287
412	0.3765197102
413	0.3764660307
414	0.3764238366
415	0.3763702326
416	0.3762898923
417	0.3762159037
418	0.3762008384
419	0.3761411524
420	0.3761259157
421	0.376021141
422	0.3759970824
423	0.3759242176
424	0.3757627555
425	0.3756969181
426	0.375601936
427	0.3754962747
428	0.3753303017
429	0.3752957702
430	0.375158076
431	0.3749694811
432	0.3749110811
433	0.3748233923
434	0.3747720699
435	0.374628809
436	0.3745448851
437	0.3744717872
438	0.3744505734
439	0.374374357
440	0.3743261146
441	0.3742422899
442	0.3741301949
443	0.3740448093
444	0.3737608061
445	0.3736043894
446	0.3734916661
447	0.3734332793
448	0.3733753413
449	0.3733523145
450	0.3732301129
451	0.3731641134
452	0.3730339379
453	0.3728940299
454	0.3727967383
455	0.3726295639
456	0.3725893255
457	0.3725227887
458	0.3724361716
459	0.3723327293
460	0.3722658558
461	0.3722249482
462	0.3721319911
463	0.3720997677
464	0.3720328153
465	0.3719042002
466	0.3718503417
467	0.3717269434
468	0.3715074586
469	0.3714623136
470	0.3713549874
471	0.3712334276
472	0.3711611025
473	0.3709495696
474	0.3708966492
475	0.3708135876
476	0.3707583918
477	0.3705111207
478	0.3703958928
479	0.370300036
480	0.3702329551
481	0.3701462533
482	0.3700590706
483	0.36998961
484	0.3699513413
485	0.3697826634
486	0.3696921113
487	0.3694342134
488	0.3693834896
489	0.3692316999
490	0.3690424734
491	0.3689941263
492	0.3689301453
493	0.3688551874
494	0.3687351737
495	0.3685015449
496	0.3684388535
497	0.3682991087
498	0.3682107834
499	0.3680344647
500	0.3679565209
501	0.3679146922
502	0.3678483764
503	0.367771911
504	0.3677570602
505	0.3677025025
506	0.3675969592
507	0.3675383431
508	0.3673612568
509	0.3672081465
510	0.3671394004
511	0.3668846914
512	0.366650623
513	0.3666006982
514	0.3664932164
515	0.3664395062
516	0.3663868541
517	0.3663345319
518	0.3661948515
519	0.3660847027
520	0.3660301557
521	0.365878257
522	0.365814535
523	0.3656945696
524	0.3656156167
525	0.3655406555
526	0.3654949617
527	0.3654268486
528	0.3653663138
529	0.3653026554
530	0.3652327231
531	0.3651838233
532	0.3650373165
533	0.3649624812
534	0.3648910347
535	0.3647679814
536	0.3646704207
537	0.3646260853
538	0.3645731845
539	0.3644510468
540	0.3642555565
541	0.3641025799
542	0.3640366816
543	0.3639835502
544	0.363934271
545	0.3637567617
546	0.3636178677
547	0.3635689644
548	0.3634653089
549	0.3633379122
550	0.3631591173
551	0.3631074132
552	0.3629953676
553	0.3627219974
554	0.3625667067
555	0.3625273795
556	0.3624783179
557	0.3623290536
558	0.3623159524
559	0.3621904892
560	0.3620062939
561	0.3619263531
562	0.3618683385
563	0.3617117278
564	0.3616988514
565	0.3616823229
566	0.3615873529
567	0.3615116849
568	0.3614852363
569	0.3612710409
570	0.3612121017
571	0.3610036604
572	0.3609085988
573	0.3608391468
574	0.3608002552
575	0.3606555354
576	0.3606126421
577	0.3605265103
578	0.3604629462
579	0.3604447477
580	0.3602523943
581	0.3602058797
582	0.3600781422
583	0.3600660341
584	0.3598924626
585	0.3598167826
586	0.3597539173
587	0.3595882253
588	0.3594439645
589	0.3593202601
590	0.3592023215
591	0.3590613536
592	0.3589660165
593	0.3588827968
594	0.3587099399
595	0.3586372281
596	0.358581002
597	0.3585208999
598	0.3584094715
599	0.3583755351
600	0.3582538455
601	0.3582156685
602	0.3581783316
603	0.3581089959
604	0.3580659641
605	0.3580432414
606	0.3579354417
607	0.3579183511
608	0.3578038251
609	0.3577431467
610	0.3575494406
611	0.3574650641
612	0.3574330506
613	0.357332042
614	0.3571169818
615	0.3570387475
616	0.3570051593
617	0.3569214231
618	0.3569145235
619	0.3568788731
620	0.3568321859
621	0.3568104562
622	0.3566890175
623	0.356617276
624	0.3564188558
625	0.3563866106
626	0.3563282382
627	0.3562611511
628	0.3561717203
629	0.3560274324
630	0.3560169644
631	0.355909219
632	0.3559002626
633	0.3558049851
634	0.3557841005
635	0.3556541236
636	0.3555924523
637	0.3555680114
638	0.3554348063
639	0.3552769953
640	0.3552301134
641	0.3551317371
642	0.3551107711
643	0.3549953905
644	0.354896151
645	0.3547890479
646	0.3547383793
647	0.3546903086
648	0.3545900006
649	0.3543990486
650	0.3542904143
651	0.3542707407
652	0.3542374474
653	0.3540281523
654	0.3539292579
655	0.3538412619
656	0.3537408294
657	0.3536946387
658	0.3535862661
659	0.3535704517
660	0.3534647959
661	0.3533923847
662	0.3533365145
663	0.3533028539
664	0.3532795734
665	0.3531662629
666	0.3530894095
667	0.3530234434
668	0.3529669082
669	0.3529301406
670	0.3529120272
671	0.3528030309
672	0.3527918513
673	0.3527837602
674	0.3527331857
675	0.3526852447
676	0.3526275633
677	0.352590976
678	0.3525301585
679	0.3525041487
680	0.3524005651
681	0.352331069
682	0.3523110793
683	0.352287932
684	0.3522268452
685	0.3522009937
686	0.3521358942
687	0.3520773275
688	0.3520643286
689	0.3518847875
690	0.3518820749
691	0.3518397872
692	0.351778704
693	0.3516666019
694	0.3515686557
695	0.3515005034
696	0.3513518252
697	0.3511842632
698	0.3511455407
699	0.3511195282
700	0.3510823121
701	0.350985114
702	0.3509085788
703	0.3508624401
704	0.3508395252
705	0.3508285122
706	0.3507694191
707	0.3507094038
708	0.3507007885
709	0.3506739494
710	0.3505107441
711	0.3504454242
712	0.3502924525
713	0.3502289076
714	0.3501534377
715	0.349973711
716	0.3499380281
717	0.3499024251
718	0.3498751757
719	0.349868156
720	0.3497966594
721	0.3497259877
722	0.3496266488
723	0.349519897
724	0.3494880089
725	0.3494460487
726	0.3493761798
727	0.34933631
728	0.3492966858
729	0.3492249751
730	0.3492204698
731	0.3491511646
732	0.3490332
733	0.3490103737
734	0.3489784332
735	0.3488854265
736	0.3487283867
737	0.3486885947
738	0.348591093
739	0.3484876226
740	0.3484780447
741	0.3483366997
742	0.3482793069
743	0.3481248866
744	0.3480311724
745	0.3479731397
746	0.3478497514
747	0.3477583859
748	0.3477072706
749	0.347661811
750	0.3474629802
751	0.3473027028
752	0.3472463872
753	0.3470486832
754	0.3469559588
755	0.3468668058
756	0.3468157482
757	0.3467628425
758	0.3467131604
759	0.346553664
760	0.3465436506
761	0.3464924746
762	0.3464251924
763	0.3462708789
764	0.3462007415
765	0.3461617021
766	0.3460079656
767	0.3459869549
768	0.3458596424
769	0.3457443581
770	0.3457013755
771	0.3456811772
772	0.3456202939
773	0.3455891555
774	0.345504072
775	0.3454632096
776	0.3454350942
777	0.3452966353
778	0.3452600564
779	0.3452378838
780	0.3451944128
781	0.345150455
782	0.3450479653
783	0.3449302175
784	0.3448616999
785	0.3448290259
786	0.3447177151
787	0.3446733735
788	0.3446312035
789	0.3445957713
790	0.3445264994
791	0.3444467853
792	0.344364986
793	0.3443448777
794	0.3443363314
795	0.3442361041
796	0.3441857376
797	0.3439972068
798	0.3439795031
799	0.3439428842
800	0.343900834
801	0.3438824485
802	0.3437691443
803	0.3437367028
804	0.343625771
805	0.343506686
806	0.3434228535
807	0.3434013993
808	0.3432489971
809	0.3432408304
810	0.3431841358
811	0.3430961551
812	0.3430609331
813	0.3429951148
814	0.3428349199
815	0.3427018137
816	0.342690393
817	0.342604245
818	0.3425708845
819	0.3424373142
820	0.3423965319
821	0.3423345213
822	0.3423150511
823	0.3421895057
824	0.3420422343
825	0.3420227957
826	0.341917847
827	0.3417464664
828	0.341681937
829	0.3416166829
830	0.3414847092
831	0.3414420397
832	0.3413898342
833	0.3412975495
834	0.3412364956
835	0.3411128367
836	0.341071821
837	0.3410519915
838	0.341012456
839	0.3409798465
840	0.3408559552
841	0.3408055696
842	0.3407288875
843	0.3407239924
844	0.3406784575
845	0.34056305
846	0.3404628284
847	0.3404519718
848	0.3403885118
849	0.3403648434
850	0.340268258
851	0.3402252086
852	0.3401712065
853	0.3400197944
854	0.3398651062
855	0.3397136595
856	0.3396748036
