iter	Passed	Remaining
0	54	54692
1	85	42620
2	117	38985
3	148	37026
4	178	35428
5	208	34518
6	233	33078
7	256	31816
8	286	31543
9	320	31741
10	392	35302
11	425	35052
12	455	34615
13	484	34098
14	512	33674
15	538	33110
16	558	32310
17	588	32101
18	616	31848
19	646	31691
20	676	31554
21	705	31373
22	734	31196
23	765	31130
24	792	30912
25	819	30691
26	849	30616
27	876	30424
28	906	30353
29	936	30289
30	967	30239
31	999	30221
32	1029	30174
33	1060	30134
34	1092	30129
35	1125	30150
36	1156	30102
37	1179	29859
38	1210	29828
39	1241	29795
40	1274	29810
41	1304	29766
42	1376	30640
43	1395	30315
44	1424	30228
45	1448	30045
46	1481	30031
47	1511	29983
48	1527	29649
49	1557	29591
50	1587	29530
51	1617	29489
52	1648	29460
53	1678	29412
54	1704	29285
55	1737	29287
56	1767	29243
57	1801	29261
58	1830	29193
59	1862	29185
60	1889	29091
61	1916	28988
62	1937	28815
63	1968	28787
64	1998	28740
65	2021	28606
66	2053	28596
67	2082	28541
68	2114	28526
69	2144	28496
70	2175	28459
71	2204	28416
72	2229	28316
73	2260	28280
74	2276	28081
75	2309	28075
76	2330	27935
77	2360	27906
78	2390	27871
79	2421	27851
80	2452	27820
81	2472	27678
82	2503	27657
83	2533	27628
84	2565	27612
85	2601	27645
86	2632	27623
87	2665	27620
88	2697	27615
89	2715	27454
90	2745	27424
91	2773	27375
92	2804	27349
93	2836	27339
94	2866	27307
95	2897	27289
96	2929	27272
97	2962	27270
98	2981	27134
99	3016	27145
100	3050	27152
101	3084	27153
102	3117	27151
103	3146	27111
104	3179	27100
105	3208	27056
106	3240	27041
107	3270	27014
108	3287	26871
109	3318	26846
110	3350	26837
111	3382	26820
112	3416	26819
113	3449	26808
114	3482	26796
115	3510	26755
116	3529	26633
117	3560	26612
118	3577	26484
119	3606	26449
120	3638	26428
121	3659	26337
122	3689	26302
123	3706	26182
124	3738	26167
125	3772	26170
126	3807	26173
127	3840	26164
128	3871	26140
129	3904	26127
130	3935	26109
131	3965	26074
132	3995	26045
133	4026	26020
134	4055	25984
135	4086	25964
136	4117	25934
137	4134	25825
138	4166	25807
139	4200	25803
140	4236	25808
141	4269	25799
142	4303	25791
143	4336	25780
144	4368	25758
145	4399	25733
146	4428	25696
147	4458	25669
148	4493	25662
149	4525	25644
150	4538	25519
151	4550	25388
152	4577	25339
153	4586	25197
154	4620	25191
155	4656	25194
156	4690	25186
157	4713	25120
158	4747	25111
159	4777	25084
160	4791	24967
161	4823	24950
162	4855	24934
163	4877	24863
164	4908	24840
165	4939	24818
166	4969	24789
167	4999	24757
168	5029	24728
169	5063	24719
170	5101	24730
171	5134	24717
172	5171	24721
173	5206	24714
174	5287	24925
175	5318	24899
176	5347	24866
177	5378	24840
178	5411	24819
179	5442	24793
180	5473	24765
181	5504	24739
182	5537	24720
183	5549	24611
184	5577	24570
185	5609	24547
186	5640	24522
187	5658	24438
188	5666	24315
189	5698	24291
190	5727	24261
191	5759	24236
192	5792	24221
193	5824	24197
194	5855	24171
195	5883	24133
196	5910	24090
197	5940	24060
198	5969	24027
199	6001	24005
200	6032	23979
201	6054	23916
202	6086	23894
203	6117	23870
204	6149	23848
205	6165	23763
206	6195	23736
207	6226	23708
208	6259	23689
209	6292	23670
210	6323	23644
211	6340	23567
212	6370	23536
213	6401	23512
214	6433	23488
215	6451	23416
216	6475	23366
217	6507	23343
218	6538	23317
219	6568	23289
220	6598	23257
221	6629	23234
222	6651	23175
223	6663	23085
224	6694	23057
225	6724	23029
226	6755	23005
227	6786	22977
228	6817	22954
229	6848	22929
230	6879	22901
231	6910	22875
232	6923	22789
233	6953	22763
234	6966	22678
235	6973	22576
236	7004	22549
237	7035	22526
238	7066	22501
239	7079	22417
240	7108	22388
241	7139	22361
242	7170	22337
243	7188	22272
244	7219	22248
245	7251	22224
246	7282	22201
247	7314	22178
248	7344	22150
249	7359	22078
250	7389	22049
251	7419	22022
252	7450	21998
253	7476	21959
254	7489	21880
255	7519	21853
256	7552	21835
257	7583	21810
258	7615	21787
259	7634	21727
260	7664	21700
261	7677	21624
262	7707	21598
263	7741	21581
264	7753	21506
265	7765	21427
266	7797	21406
267	7829	21383
268	7863	21368
269	7895	21347
270	7928	21326
271	7961	21307
272	7994	21289
273	8012	21231
274	8045	21210
275	8079	21193
276	8110	21168
277	8142	21146
278	8154	21072
279	8166	21000
280	8198	20976
281	8229	20951
282	8260	20927
283	8291	20904
284	8323	20880
285	8339	20818
286	8369	20792
287	8401	20769
288	8432	20745
289	8445	20675
290	8475	20650
291	8506	20625
292	8537	20601
293	8567	20574
294	8598	20547
295	8610	20478
296	8640	20451
297	8653	20385
298	8685	20362
299	8716	20339
300	8725	20262
301	8754	20234
302	8786	20211
303	8816	20184
304	8832	20126
305	8845	20060
306	8876	20038
307	8907	20013
308	8938	19989
309	8970	19966
310	8982	19899
311	9013	19875
312	9044	19850
313	9076	19829
314	9107	19805
315	9139	19782
316	9153	19721
317	9174	19676
318	9205	19651
319	9232	19619
320	9263	19594
321	9272	19523
322	9303	19499
323	9319	19444
324	9350	19420
325	9380	19394
326	9397	19340
327	9409	19278
328	9435	19242
329	9466	19220
330	9496	19193
331	9517	19150
332	9530	19090
333	9561	19064
334	9591	19040
335	9604	18980
336	9634	18954
337	9647	18894
338	9680	18875
339	9710	18849
340	9739	18822
341	9770	18798
342	9802	18776
343	9820	18726
344	9851	18703
345	9870	18656
346	9901	18632
347	9914	18576
348	9946	18553
349	9978	18531
350	10010	18509
351	10041	18485
352	10073	18463
353	10094	18420
354	10107	18363
355	10119	18305
356	10150	18281
357	10183	18262
358	10215	18239
359	10247	18217
360	10279	18195
361	10311	18172
362	10343	18150
363	10364	18110
364	10396	18086
365	10426	18061
366	10456	18035
367	10487	18010
368	10519	17988
369	10531	17932
370	10562	17908
371	10576	17854
372	10606	17829
373	10627	17787
374	10658	17763
375	10687	17737
376	10700	17682
377	10720	17640
378	10744	17604
379	10777	17583
380	10809	17561
381	10840	17537
382	10869	17511
383	10901	17487
384	10934	17467
385	10957	17429
386	10986	17402
387	11002	17354
388	11032	17329
389	11059	17297
390	11091	17275
391	11105	17224
392	11120	17175
393	11153	17155
394	11184	17130
395	11200	17083
396	11232	17060
397	11263	17036
398	11294	17013
399	11327	16991
400	11359	16968
401	11388	16940
402	11421	16919
403	11452	16895
404	11483	16870
405	11514	16846
406	11547	16824
407	11560	16773
408	11589	16747
